               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.093968,             0.42462,                   0,             0.38781,             0.55384,             0.38407,             0.11302,            0.086535,             0.74033,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.084352,             0.38814,                   0,             0.42503,             0.70019,             0.54219,              0.1897,            0.081913,              1.0138,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.080215,             0.40094,                   0,             0.42503,             0.70019,             0.54219,              0.1897,            0.081913,              1.0138,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.091767,             0.41884,                   0,             0.29111,             0.50677,             0.24102,            0.082845,            0.094449,             0.94682,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.093946,             0.42906,                   0,             0.66613,             0.77176,             0.74868,             0.28332,            0.079282,             0.72716,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.082227,             0.44425,                   0,             0.31556,             0.54932,             0.24975,            0.067661,            0.081027,              1.1285,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.079887,             0.47959,                   0,             0.31556,             0.54932,             0.24975,            0.067661,            0.081027,              1.1285,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.078277,             0.43311,                   0,             0.57261,             0.73078,               0.673,             0.27392,            0.076756,             0.72666,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.079615,             0.38798,                   0,            0.086667,             0.15087,            0.051156,            0.013565,            0.094856,              1.0263,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.093695,             0.42641,                   0,            0.077778,              0.1354,            0.045286,            0.011838,            0.095067,             0.99273,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.093866,              0.4344,                   0,            0.077778,              0.1354,            0.045286,            0.011838,            0.095067,             0.99273,                   0,            0.008449,            0.008449,            0.008449
